Name,KHL_Team,Team,Pos,G,A,PPG,SHG,GWG,PPA,SHA,SOG,BLK,HIT,WIN,GA,SV,SO,K_G,K_A,K_PPG,K_SHG,K_GWG,K_PPA,K_SHA,K_SOG,K_BLK,K_HIT,K_WIN,K_GA,K_SV,K_SO,K_TOTAL
Andrei Svechnikov,Good Canadian Boys,CAR,RW,24,37,6,0,5,14,0,183,27,116,0,0,0,0,144,148,12,0,5,28,0,164.70000000000002,27,116,0,0,0,0,644.7
Leon Draisaitl,Good Canadian Boys,EDM,C,43,67,16,0,10,28,0,218,19,27,0,0,0,0,258,268,32,0,10,56,0,196.20000000000002,19,27,0,0,0,0,866.2
Tom Wilson,Good Canadian Boys,WSH,RW,21,23,5,1,5,2,1,154,58,253,0,0,0,0,126,92,10,3,5,4,2,138.6,58,253,0,0,0,0,691.6
Cale Makar,Good Canadian Boys,COL,D,12,38,4,0,4,15,0,121,47,45,0,0,0,0,72,152,8,0,4,30,0,108.9,47,45,0,0,0,0,466.9
Zach Werenski,Good Canadian Boys,CBJ,D,20,21,5,1,4,8,0,187,58,36,0,0,0,0,120,84,10,3,4,16,0,168.3,58,36,0,0,0,0,499.3
Carey Price,Good Canadian Boys,MTL,G,0,0,0,0,0,0,0,0,0,0,27,160,1595,4,0,0,0,0,0,0,0,0,0,0,135,-480,957.0,24,636.0
Elias Pettersson,Good Canadian Boys,VAN,C,27,39,8,0,5,16,0,162,42,63,0,0,0,0,162,156,16,0,5,32,0,145.8,42,63,0,0,0,0,621.8
Blake Coleman,Good Canadian Boys,TOT,C,21,11,1,3,2,2,1,200,46,191,0,0,0,0,126,44,2,9,2,4,2,180.0,46,191,0,0,0,0,606.0
Kailer Yamamoto,Good Canadian Boys,EDM,RW,11,15,2,0,0,0,0,44,13,45,0,0,0,0,66,60,4,0,0,0,0,39.6,13,45,0,0,0,0,227.6
Gabriel Landeskog,Oakland Eh's,COL,LW,21,23,6,0,4,9,0,145,35,86,0,0,0,0,126,92,12,0,4,18,0,130.5,35,86,0,0,0,0,503.5
Brayden Point,Oakland Eh's,TBL,C,25,39,8,0,4,5,0,141,30,24,0,0,0,0,150,156,16,0,4,10,0,126.9,30,24,0,0,0,0,516.9
Vladimir Tarasenko,Oakland Eh's,STL,RW,3,7,1,0,0,2,0,26,7,17,0,0,0,0,18,28,2,0,0,4,0,23.400000000000002,7,17,0,0,0,0,99.4
Darnell Nurse,Oakland Eh's,EDM,D,5,28,0,0,1,5,0,170,141,172,0,0,0,0,30,112,0,0,1,10,0,153.0,141,172,0,0,0,0,619.0
Tyson Barrie,Oakland Eh's,TOR,D,5,34,1,0,0,11,0,169,76,47,0,0,0,0,30,136,2,0,0,22,0,152.1,76,47,0,0,0,0,465.1
Jordan Binnington,Oakland Eh's,STL,G,0,0,0,0,0,0,0,0,0,0,30,126,1304,3,0,0,0,0,0,0,0,0,0,0,150,-378,782.4,18,572.4
Blake Wheeler,Oakland Eh's,WPG,RW,22,43,4,1,2,18,1,180,51,102,0,0,0,0,132,172,8,3,2,36,2,162.0,51,102,0,0,0,0,670.0
Sean Couturier,Oakland Eh's,PHI,C,22,37,4,0,4,9,0,185,26,60,0,0,0,0,132,148,8,0,4,18,0,166.5,26,60,0,0,0,0,562.5
Ryan O'Reilly,Oakland Eh's,STL,C,12,49,2,1,3,16,0,118,42,16,0,0,0,0,72,196,4,3,3,32,0,106.2,42,16,0,0,0,0,474.2
Jonathan Huberdeau,Jersey City Wok,FLA,LW,23,55,5,0,3,24,0,152,26,51,0,0,0,0,138,220,10,0,3,48,0,136.8,26,51,0,0,0,0,632.8
