41,Anthony DeAngelo\deangan01,24,NYR,D,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,19,19:23,1,1,0,0,
42,Alex DeBrincat\debrial01,22,CHI,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,13,13:18,1,1,0,0,
43,Dylan DeMelo\demeldy01,26,WPG,D,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,18:09,2,1,0,0,
44,Phillip Di Giuseppe\digiuph01,26,NYR,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,6:02,0,3,0,0,
45,Max Domi\domima01,24,MTL,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,15:33,0,1,4,3,57.1
46,Leon Draisaitl\draisle01,24,EDM,C,1,1,2,3,1,0,0,1,0,0,1,1,0,4,25,22,21:54,0,0,10,11,47.6
47,Jonathan Drouin\drouijo01,24,MTL,LW,1,0,0,0,1,4,0,0,0,0,0,0,0,1,0,17,17:25,0,2,1,1,50
48,Dillon Dube\dubedi01,21,CGY,C,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,13:55,0,2,0,0,
49,Brian Dumoulin\dumoubr01,28,PIT,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,3,0,24,24:23:00,3,1,0,0,
50,Cody Eakin\eakinco01,28,WPG,C,1,0,0,0,-1,2,0,0,0,0,0,0,0,0,,17,16:34,0,3,4,4,50
51,Jordan Eberle\eberljo01,29,NYI,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,16:31,1,0,0,1,0
52,Joel Edmundson\edmunjo01,26,CAR,D,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,19,19:22,1,1,0,0,
53,Nikolaj Ehlers\ehlerni01,23,WPG,LW,1,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,17,16:34,0,3,1,0,100
54,Aaron Ekblad\ekblaaa01,23,FLA,D,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,26,25:34:00,0,3,0,0,
55,Tyler Ennis\ennisty01,30,EDM,C,1,0,0,0,0,4,0,0,0,0,0,0,0,0,,13,12:37,0,2,0,2,0
56,Jesper Fast\fastje01,28,NYR,RW,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,1,1:04,0,0,0,0,
