39,T.J. Brodie\broditj01,29,CGY,D,1,0,1,1,0,0,0,0,0,0,0,0,1,0,,21,21:07,2,1,0,0,
40,Jonas Brodin\brodijo01,26,MIN,D,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,21:57,1,0,0,0,
41,Pavel Buchnevich\buchnpa01,24,NYR,LW,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,17,17:07,1,1,0,1,0.0
42,Andre Burakovsky\burakan01,24,COL,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,16:34,0,1,0,0,
43,Paul Byron\byronpa01,30,MTL,C,1,0,1,1,1,2,0,0,0,0,1,0,0,0,,15,14:48,0,2,0,1,0.0
44,Drake Caggiula\caggidr01,25,CHI,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,11:25,1,4,1,1,50.0
45,Matt Calvert\calvema01,30,COL,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,13,12:56,0,5,0,0,
46,Brandon Carlo\carlobr01,23,BOS,D,1,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,19,18:35,1,0,0,0,
47,Ryan Carpenter\carpery01,29,CHI,C,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,13:33,0,6,1,4,20.0
48,Cody Ceci\cecico01,26,TOR,D,1,0,0,0,-1,4,0,0,0,0,0,0,0,1,0.0,16,16:28,3,1,0,0,
49,Zdeno Chara\charazd01,42,BOS,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,16:57,2,4,0,0,
50,Ben Chiarot\chiarbe01,28,MTL,D,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,29,28:50,3,6,0,0,
51,Alex Chiasson\chiasal01,29,EDM,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,15:24,0,2,0,0,
52,Jakob Chychrun\chychja01,21,ARI,D,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,18,17:51,1,1,0,0,
53,Filip Chytil\chytifi01,20,NYR,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,16:16,0,2,3,8,27.3
54,Casey Cizikas\cizikca01,28,NYI,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,14:56,0,1,6,7,46.2
55,Kyle Clifford\cliffky01,29,TOR,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,3:21,1,0,0,0,
56,Cal Clutterbuck\cluttca01,32,NYI,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,14:28,3,3,0,0,
57,Ian Cole\coleia01,30,COL,D,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,16:33,0,1,0,0,
58,J.T. Compher\comphj.01,24,COL,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,11:25,1,0,3,5,37.5
59,Brett Connolly\connobr01,27,FLA,RW,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,15:24,1,1,0,1,0.0
60,Kyle Connor\connoky01,23,WPG,LW,1,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,24,23:43,0,0,0,0,
61,Andrew Copp\coppan01,25,WPG,C,1,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,18,18:13,0,1,2,0,100.0
62,Sean Couturier\coutuse01,27,PHI,C,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,20,19:55,0,2,10,11,47.6
63,Charlie Coyle\coylech01,27,BOS,C,1,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,22,21:34,0,3,9,9,50.0
64,Sidney Crosby\crosbsi01,32,PIT,C,1,1,0,1,1,0,1,0,0,0,0,0,0,5,20.0,25,24:46,0,2,20,16,55.6
65,Lawson Crouse\crousla01,22,ARI,LW,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,13,12:44,1,5,0,0,
66,Kirby Dach\dachki01,19,CHI,C,1,0,1,1,0,0,0,0,0,0,0,1,0,0,,19,19:09,1,0,2,5,28.6
67,Evgenii Dadonov\dadonev01,30,FLA,RW,1,0,0,0,1,2,0,0,0,0,0,0,0,2,0.0,18,18:08,0,3,0,0,
68,Phillip Danault\danauph01,26,MTL,LW,1,0,1,1,0,6,0,0,0,0,1,0,0,5,0.0,22,21:37,1,4,12,11,52.2
69,Calvin de Haan\dehaaca01,28,CHI,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,21:00,1,4,0,0,
70,Anthony DeAngelo\deangan01,24,NYR,D,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,19,19:23,1,1,0,0,
71,Alex DeBrincat\debrial01,22,CHI,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,13,13:18,1,1,0,0,
72,Jake Debrusk\debruja01,23,BOS,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,15:17,1,0,0,0,
73,Dylan DeMelo\demeldy01,26,WPG,D,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,18:09,2,1,0,0,
74,Jason Demers\demerja01,31,ARI,D,1,0,0,0,1,2,0,0,0,0,0,0,0,0,,17,17:23,5,3,0,0,
75,Travis Dermott\dermotr01,23,TOR,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,17:01,1,3,0,0,
76,Phillip Di Giuseppe\digiuph01,26,NYR,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,6:02,0,3,0,0,
77,Max Domi\domima01,24,MTL,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,15:33,0,1,4,3,57.1
78,Ryan Donato\donatry01,23,MIN,C,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,10:57,0,3,0,0,
79,Joonas Donskoi\donskjo01,27,COL,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,13:16,1,0,0,0,
80,Leon Draisaitl\draisle01,24,EDM,C,1,1,2,3,1,0,0,1,0,0,1,1,0,4,25.0,22,21:54,0,0,10,11,47.6
81,Jonathan Drouin\drouijo01,24,MTL,LW,1,0,0,0,1,4,0,0,0,0,0,0,0,1,0.0,17,17:25,0,2,1,1,50.0
82,Dillon Dube\dubedi01,21,CGY,C,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,14,13:55,0,2,0,0,
83,Pierre-Luc Dubois\duboipi01,21,CBJ,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,19:17,4,1,7,9,43.8
84,Matt Duchene\duchema01,29,NSH,C,1,0,1,1,-2,2,0,0,0,0,0,1,0,1,0.0,17,16:33,0,1,3,5,37.5
85,Mathew Dumba\dumbama01,25,MIN,D,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,22,22:00,3,2,0,0,
86,Brian Dumoulin\dumoubr01,28,PIT,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,24,24:23,3,1,0,0,
87,Vince Dunn\dunnvi02,23,STL,D,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,14:49,0,2,0,0,
88,Christian Dvorak\dvorach01,23,ARI,C,1,1,1,2,1,0,1,0,0,0,0,1,0,2,50.0,16,16:22,1,0,7,9,43.8
89,Cody Eakin\eakinco01,28,WPG,C,1,0,0,0,-1,2,0,0,0,0,0,0,0,0,,17,16:34,0,3,4,4,50.0
90,Jordan Eberle\eberljo01,29,NYI,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,16:31,1,0,0,1,0.0
91,Alexander Edler\edleral01,33,VAN,D,1,0,0,0,0,2,0,0,0,0,0,0,0,4,0.0,20,20:10,3,4,0,0,
92,Joel Edmundson\edmunjo01,26,CAR,D,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,19,19:22,1,1,0,0,
93,Nikolaj Ehlers\ehlerni01,23,WPG,LW,1,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,16:34,0,3,1,0,100.0
94,Aaron Ekblad\ekblaaa01,23,FLA,D,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,26,25:34,0,3,0,0,
95,Mattias Ekholm\ekholma01,29,NSH,D,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,25,24:47,2,0,0,0,
96,Oliver Ekman-Larsson\ekmanol01,28,ARI,D,1,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,24,24:21,1,2,0,0,
97,Ryan Ellis\ellisry01,29,NSH,D,1,1,0,1,-1,0,1,0,0,0,0,0,0,5,20.0,26,26:05,2,1,0,0,
98,Tyler Ennis\ennisty01,30,EDM,C,1,0,0,0,0,4,0,0,0,0,0,0,0,0,,13,12:37,0,2,0,2,0.0
99,Joel Eriksson Ek\eriksjo02,23,MIN,C,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,16,16:24,0,2,5,5,50.0
100,Dante Fabbro\fabbrda01,21,NSH,D,1,0,0,0,0,2,0,0,0,0,0,0,0,0,,16,15:47,1,0,0,0,
101,Oscar Fantenberg\fanteos01,28,VAN,D,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,15:30,1,2,0,0,
102,Jesper Fast\fastje01,28,NYR,RW,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,1,1:04,0,0,0,0,
103,Justin Faulk\faulkju01,27,STL,D,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,21,21:26,0,5,0,0,
104,Micheal Ferland\ferlami01,27,VAN,LW,1,0,0,0,0,7,0,0,0,0,0,0,0,0,,12,11:41,0,5,0,0,
105,Kevin Fiala\fialake01,23,MIN,LW,1,1,0,1,0,0,0,1,0,1,0,0,0,5,20.0,17,17:29,0,1,0,0,
106,Christian Fischer\fischch01,22,ARI,RW,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,13,12:35,0,3,0,0,
107,Haydn Fleury\fleurha01,23,CAR,D,1,0,0,0,0,2,0,0,0,0,0,0,0,0,,14,14:05,1,1,0,0,
108,Warren Foegele\foegewa01,23,CAR,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,12,12:25,0,1,0,0,
109,Marcus Foligno\foligma01,28,MIN,LW,1,0,0,0,0,5,0,0,0,0,0,0,0,0,,12,12:11,1,7,0,0,
110,Nick Foligno\foligni01,32,CBJ,LW,1,0,1,1,2,0,0,0,0,0,1,0,0,1,0.0,16,16:19,0,5,0,2,0.0
111,Derek Forbort\forbode01,27,CGY,D,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,17:15,2,2,0,0,
112,Filip Forsberg\forsbfi01,25,NSH,C,1,2,0,2,-1,0,0,2,0,0,0,0,0,7,28.6,19,19:22,0,2,0,0,
113,Liam Foudy\foudyli01,19,CBJ,C,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,13,13:19,0,1,0,0,
114,Adam Fox\foxad01,21,NYR,D,1,0,0,0,2,2,0,0,0,0,0,0,0,1,0.0,20,19:53,1,1,0,0,
115,Alex Galchenyuk\galchal01,25,MIN,C,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,14:34,0,1,5,9,35.7
116,Brendan Gallagher\gallabr01,27,MTL,RW,1,0,1,1,0,0,0,0,0,0,1,0,0,9,0.0,20,19:55,0,4,0,0,
117,Jake Gardiner\gardija01,29,CAR,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,12,11:55,0,2,0,0,
118,Conor Garland\garlaco01,23,ARI,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,10,10:22,0,1,0,0,
119,Adam Gaudette\gaudead01,23,VAN,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,10:47,2,0,7,6,53.8
120,Johnny Gaudreau\gaudrjo01,26,CGY,LW,1,1,0,1,0,0,0,1,0,0,0,0,0,1,100.0,17,17:14,0,0,0,0,
121,Frederik Gauthier\gauthfr01,24,TOR,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,4:14,0,0,0,1,0.0
122,Julien Gauthier\gauthju01,22,NYR,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,12,11:41,0,2,0,0,
123,Vladislav Gavrikov\gavrivl01,24,CBJ,D,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,18,18:05,2,3,0,0,
124,Morgan Geekie\geekimo01,21,CAR,C,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,6,6:29,0,3,1,1,50.0
125,Mark Giordano\giordma01,36,CGY,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,23,22:40,1,0,0,0,
126,Samuel Girard\girarsa01,21,COL,D,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,20:07,2,1,0,0,
127,Claude Giroux\giroucl01,32,PHI,C,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,19,18:59,0,0,8,7,53.3
128,Alex Goligoski\goligal01,34,ARI,D,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,24,24:16,3,2,0,0,
