Name,KHL_Team,Team,Pos,G,A,PPG,SHG,GWG,PPA,SHA,SOG,BLK,HIT,WIN,GA,SV,SO,K_G,K_A,K_PPG,K_SHG,K_GWG,K_PPA,K_SHA,K_SOG,K_BLK,K_HIT,K_WIN,K_GA,K_SV,K_SO,K_TOTAL
Morgan Rielly,ABOL,TOR,D,3,24,0,0,2,7,0,123,67,38,0,0,0,0,18,96,0,0,2,14,0,110.7,67,38,0,0,0,0,345.7
Brandon Carlo,ABOL,BOS,D,4,15,0,0,0,0,0,111,76,126,0,0,0,0,24,60,0,0,0,0,0,99.9,76,126,0,0,0,0,385.9
Zach Hyman,ABOL,TOR,C,21,16,3,1,1,3,0,106,23,52,0,0,0,0,126,64,6,3,1,6,0,95.4,23,52,0,0,0,0,376.4
Jonathan Bernier,ABOL,DET,G,0,0,0,0,0,0,0,0,0,0,15,126,1227,1,0,0,0,0,0,0,0,0,0,0,75,-378,736.1999999999999,6,439.19999999999993
Thatcher Demko,ABOL,VAN,G,0,0,0,0,0,0,0,0,0,0,13,78,744,0,0,0,0,0,0,0,0,0,0,0,65,-234,446.4,0,277.4
Linus Ullmark,ABOL,BUF,G,0,0,0,0,0,0,0,0,0,0,17,91,975,1,0,0,0,0,0,0,0,0,0,0,85,-273,585.0,6,403.0
Jaroslav Halak,ABOL,BOS,G,0,0,0,0,0,0,0,0,0,0,18,73,832,3,0,0,0,0,0,0,0,0,0,0,90,-219,499.2,18,388.2
Elias Lindholm,You're Aho,CGY,C,29,25,8,0,7,11,0,169,41,93,0,0,0,0,174,100,16,0,7,22,0,152.1,41,93,0,0,0,0,605.1
Sebastian Aho,You're Aho,CAR,F,38,28,8,4,5,9,1,206,20,55,0,0,0,0,228,112,16,12,5,18,2,185.4,20,55,0,0,0,0,653.4
Kevin Fiala,You're Aho,MIN,LW,23,31,9,0,4,9,0,175,18,25,0,0,0,0,138,124,18,0,4,18,0,157.5,18,25,0,0,0,0,502.5
Patric Hornqvist,You're Aho,PIT,RW,17,15,3,0,2,4,0,168,41,107,0,0,0,0,102,60,6,0,2,8,0,151.20000000000002,41,107,0,0,0,0,477.20000000000005
Tyler Toffoli,You're Aho,TOT,C,24,20,5,0,4,5,0,203,16,48,0,0,0,0,144,80,10,0,4,10,0,182.70000000000002,16,48,0,0,0,0,494.70000000000005
Alex Pietrangelo,You're Aho,STL,D,16,36,6,0,3,16,1,225,89,47,0,0,0,0,96,144,12,0,3,32,2,202.5,89,47,0,0,0,0,627.5
Alexander Edler,You're Aho,VAN,D,5,28,1,0,1,6,0,118,162,108,0,0,0,0,30,112,2,0,1,12,0,106.2,162,108,0,0,0,0,533.2
David Savard,You're Aho,CBJ,D,0,11,0,0,0,2,0,97,163,129,0,0,0,0,0,44,0,0,0,4,0,87.3,163,129,0,0,0,0,427.3
Erik Johnson,You're Aho,COL,D,3,13,0,0,1,0,0,99,115,97,0,0,0,0,18,52,0,0,1,0,0,89.10000000000001,115,97,0,0,0,0,372.1
Jesper Bratt,You're Aho,NJD,W,16,16,1,0,2,5,0,101,22,29,0,0,0,0,96,64,2,0,2,10,0,90.9,22,29,0,0,0,0,315.9
Tyler Ennis,You're Aho,TOT,C,16,21,5,0,1,5,0,159,26,96,0,0,0,0,96,84,10,0,1,10,0,143.1,26,96,0,0,0,0,466.1
Aaron Ekblad,You're Aho,FLA,D,5,36,0,0,1,6,1,147,84,34,0,0,0,0,30,144,0,0,1,12,2,132.3,84,34,0,0,0,0,439.3
John Tavares,You're Aho,TOR,C,26,34,7,0,4,14,0,197,31,32,0,0,0,0,156,136,14,0,4,28,0,177.3,31,32,0,0,0,0,578.3
Tomas Tatar,You're Aho,MTL,C,22,39,8,0,1,6,0,162,24,79,0,0,0,0,132,156,16,0,1,12,0,145.8,24,79,0,0,0,0,565.8
Ben Bishop,You're Aho,DAL,G,0,0,0,0,0,0,0,0,0,0,21,103,1183,2,0,0,0,0,0,0,0,0,0,0,105,-309,709.8,12,517.8
Elvis Merzlikins,You're Aho,CBJ,G,0,0,0,0,0,0,0,0,0,0,13,71,848,5,0,0,0,0,0,0,0,0,0,0,65,-213,508.79999999999995,30,390.79999999999995
Darcy Kuemper,You're Aho,ARI,G,0,0,0,0,0,0,0,0,0,0,16,65,838,2,0,0,0,0,0,0,0,0,0,0,80,-195,502.79999999999995,12,399.79999999999995
Joe Pavelski,MTA Pizza Rats,DAL,C,14,17,6,0,3,5,1,125,52,62,0,0,0,0,84,68,12,0,3,10,2,112.5,52,62,0,0,0,0,405.5
Bo Horvat,MTA Pizza Rats,VAN,C,22,31,12,0,2,4,0,178,66,55,0,0,0,0,132,124,24,0,2,8,0,160.20000000000002,66,55,0,0,0,0,571.2
Rickard Rakell,MTA Pizza Rats,ANA,RW,15,27,3,0,2,6,3,186,29,81,0,0,0,0,90,108,6,0,2,12,6,167.4,29,81,0,0,0,0,501.4
Anthony Mantha,MTA Pizza Rats,DET,RW,16,22,6,0,3,3,0,137,25,49,0,0,0,0,96,88,12,0,3,6,0,123.3,25,49,0,0,0,0,402.3
Travis Konecny,MTA Pizza Rats,PHI,C,24,37,5,0,3,18,0,141,30,63,0,0,0,0,144,148,10,0,3,36,0,126.9,30,63,0,0,0,0,560.9
David Pastrnak,MTA Pizza Rats,BOS,RW,48,47,20,0,10,18,0,279,22,47,0,0,0,0,288,188,40,0,10,36,0,251.1,22,47,0,0,0,0,882.1
Esa Lindell,MTA Pizza Rats,DAL,D,3,20,1,0,2,6,3,98,127,89,0,0,0,0,18,80,2,0,2,12,6,88.2,127,89,0,0,0,0,424.2
Radko Gudas,MTA Pizza Rats,WSH,D,2,13,0,0,1,0,0,90,75,164,0,0,0,0,12,52,0,0,1,0,0,81.0,75,164,0,0,0,0,385.0
Charlie McAvoy,MTA Pizza Rats,BOS,D,5,27,1,0,1,1,1,101,131,131,0,0,0,0,30,108,2,0,1,2,2,90.9,131,131,0,0,0,0,497.9
Colton Parayko,MTA Pizza Rats,STL,D,10,18,3,0,1,2,1,162,106,87,0,0,0,0,60,72,6,0,1,4,2,145.8,106,87,0,0,0,0,483.8
Mika Zibanejad,MTA Pizza Rats,NYR,C,41,34,15,3,6,12,2,208,49,51,0,0,0,0,246,136,30,9,6,24,4,187.20000000000002,49,51,0,0,0,0,742.2
Jamie Benn,MTA Pizza Rats,DAL,LW,19,20,8,0,4,6,0,163,57,167,0,0,0,0,114,80,16,0,4,12,0,146.70000000000002,57,167,0,0,0,0,596.7
Rasmus Ristolainen,MTA Pizza Rats,BUF,D,6,27,2,0,0,7,1,128,82,203,0,0,0,0,36,108,4,0,0,14,2,115.2,82,203,0,0,0,0,564.2
Taylor Hall,MTA Pizza Rats,TOT,LW,16,36,4,0,1,14,0,232,29,47,0,0,0,0,96,144,8,0,1,28,0,208.8,29,47,0,0,0,0,561.8
Clayton Keller,MTA Pizza Rats,ARI,C,17,27,2,0,2,13,0,184,13,20,0,0,0,0,102,108,4,0,2,26,0,165.6,13,20,0,0,0,0,440.6
Connor Hellebuyck,MTA Pizza Rats,WPG,G,0,0,0,0,0,0,0,0,0,0,31,140,1656,6,0,0,0,0,0,0,0,0,0,0,155,-420,993.5999999999999,36,764.5999999999999
Semyon Varlamov,MTA Pizza Rats,NYI,G,0,0,0,0,0,0,0,0,0,0,19,110,1168,2,0,0,0,0,0,0,0,0,0,0,95,-330,700.8,12,477.79999999999995
Pierre-Luc Dubois,Good Canadian Boys,CBJ,LW,18,31,1,0,4,9,0,158,50,85,0,0,0,0,108,124,2,0,4,18,0,142.20000000000002,50,85,0,0,0,0,533.2
Elias Pettersson,Good Canadian Boys,VAN,C,27,39,8,0,5,16,0,162,42,63,0,0,0,0,162,156,16,0,5,32,0,145.8,42,63,0,0,0,0,621.8
Andrei Svechnikov,Good Canadian Boys,CAR,RW,24,37,6,0,5,14,0,183,27,116,0,0,0,0,144,148,12,0,5,28,0,164.70000000000002,27,116,0,0,0,0,644.7
